12603,5874,11875,5842,2048
8919,7421,9165,10942,7401
5749,9413,6339,6579,1951
1794,10243,2585,4894,2205
1794,10243,2585,4894,2205
11316,5672,237,7380,9353
13024,9593,10892,11609,2658
10916,3264,12489,3822,13814
12025,426,3615,7896,13124
11531,11048,2475,1742,4507
1652,13488,7225,459,10886
5601,12797,1430,7527,8998
2929,515,11441,13132,1159
8163,9118,12872,9257,13816
13749,1100,3732,1608,2211
12258,3132,4255,12046,6885
11801,4971,5298,12495,8646
1823,3463,8563,9490,9626
12989,4982,3225,7075,12822
12989,4982,3225,7075,12822
11060,6678,7087,288,4112
10183,13846,9048,13432,9303
3105,6499,11423,10932,2788
6888,4379,7450,3582,14225
6888,4379,7450,3582,14225
10167,5136,13833,14015,2315
3887,6107,7126,12630,6062
10646,1951,14020,7719,6305
13589,11626,3194,11400,1662
6382,13379,10280,13844,11447
4112,8020,7657,4895,10162
11205,10204,5181,367,11457
864,2837,9610,10613,6369
488,3012,6176,10042,4150
488,3012,6176,10042,4150
4299,8655,9899,610,12916
12225,7403,13709,2567,325
12225,7403,13709,2567,325
12225,7403,13709,2567,325
3595,9012,619,7546,3460
5415,1755,11781,11294,9117
14098,11473,4370,12687,8228
10018,7531,1026,5082,1736
3134,7572,9460,2037,7746
3134,7572,9460,2037,7746
12397,14,1242,9077,611
12676,1906,5835,7235,11767
739,12681,6353,12758,13083
1612,6603,7987,9656,1516
9923,9319,12592,10725,7451
3049,540,10903,920,8766
273,8433,4191,84,11663
12243,2369,6733,5450,11571
1014,13984,13027,2040,14077
9476,10604,11164,12971,14050
7604,1470,12341,3493,4040
6159,5490,2615,7025,10021
11286,11765,2475,6943,11048
8008,9203,4718,1982,14148
8445,10265,8687,12307,7652
4851,1785,2779,5040,2041
12236,377,9252,11110,13131
3023,7357,7016,5256,12120
12663,3592,3771,1555,2229
12881,4780,5461,6449,8893
9812,3951,13456,13686,6512
1500,5053,5680,4483,469
13501,3258,6308,12639,5393
8300,12132,14265,375,10868
7528,8900,2741,8957,6516
10786,355,4354,14225,4379
13296,9770,4174,6788,1950
2529,1553,11583,2558,11924
822,5052,5382,3417,6967
4602,8692,11949,13692,1651
4602,8692,11949,13692,1651
8652,3253,3597,39,11409
14399,284,2492,12064,12520
8362,1389,9451,4684,6932
2058,3695,11881,8574,7326
9086,8347,4616,12335,889
5885,8649,2143,11909,9849
4142,6597,988,553,5939
10376,1439,2466,5672,2225
10941,4525,8226,474,10677
596,5989,7467,6583,9637
9626,7601,8563,5635,8730
12586,11363,13443,12348,11011
9449,13736,9232,8662,6511
9449,13736,9232,8662,6511
9630,6191,13630,5701,12315
6293,11151,12243,14277,8668
8010,13719,6672,420,13603
9265,11142,9906,916,10909
3656,10600,6077,4669,4371
3656,10600,6077,4669,4371
11789,9728,4390,12307,2447
11789,9728,4390,12307,2447
11753,12872,11990,5876,8163
13217,3819,3731,13101,12109
6932,12956,7390,227,7310
13527,10418,2304,10314,50
4415,10749,4113,8575,1865
5562,3855,14486,1394,11074
8092,2098,567,3372,2784
11908,1896,6060,9615,7657
13998,1608,4801,8262,8799
11242,1059,10424,6775,13595
9183,11547,9863,13740,9708
9621,12551,14515,1682,11367
14254,10607,3094,4395,6594
10675,1799,2331,6628,2183
10078,1704,4201,1091,2170
4343,3973,6088,1029,8043
14093,3899,5008,1583,13062
11532,288,4112,11060,13314
8860,8468,5303,4186,12971
1206,11094,13522,2518,8979
11510,3914,2834,6195,4478
1621,9077,6971,10488,7981
5558,8738,12173,4099,1013
3168,11659,5361,9678,4182
3550,13742,8330,5607,4903
14115,1894,1455,9231,2923
5916,4853,5248,11256,8102
2141,1627,4453,6668,1432
13553,833,1551,8586,3824
811,1441,850,2077,10686
1914,6593,4818,1838,13395
7203,792,4217,829,13845
7203,792,4217,829,13845
249,3190,5193,4456,14066
8115,5719,6944,11762,5013
5132,9755,14082,7499,753
3273,966,11444,14261,2875
4785,9903,13895,9581,3252
297,2535,8213,1450,4513
9231,14109,4303,5414,4256
5625,3748,1923,6609,740
2465,12345,6544,12108,8284
11658,9772,14061,8433,1350
11641,7676,4611,3191,8067
601,2614,11302,3182,11622
601,2614,11302,3182,11622
14031,5045,7730,12205,6718
14031,5045,7730,12205,6718
1882,12992,6535,12311,6857
7047,12898,5012,7836,5310
538,13927,6728,432,11256
538,13927,6728,432,11256
3217,1185,7645,14449,6060
1531,13638,9286,4094,8730
7020,11570,8727,6512,13126
10233,3951,355,13456,5796
10233,3951,355,13456,5796
761,5835,7220,5564,11216
5322,12790,10027,5564,5676
13212,6684,11160,3815,7830
12677,7095,13636,9144,4212
9032,14130,4545,20,10438
3358,7859,13812,6512,3951
5342,12427,8357,235,7127
9686,200,9147,3403,12503
14055,2129,5059,8594,11049
6259,3454,8116,957,2932
138,11826,3040,9112,3842
13261,8648,10868,5872,3436
1154,12379,1376,14323,8968
10697,1176,8546,13793,10691
1279,3588,6353,1293,11789
3493,12411,2053,12476,3591
9895,1099,12230,3988,9903
547,3569,4923,9038,5803
3545,1747,12328,2641,4412
5162,550,7044,10137,2782
13066,7689,10504,13045,11899
2410,6971,10221,9321,8544
6679,7014,3950,4968,8569
4520,399,5361,10243,13667
1193,2388,2610,7491,14083
9144,117,4196,8069,7095
3003,13972,1846,5848,3186
14349,2366,12178,1398,12944
13267,4084,1036,14280,8283
13809,2322,3880,10886,10360
4835,8996,12836,8121,10187
12852,1907,13849,1346,11486
3394,5010,10892,8167,2759
796,12989,12161,432,3225
2785,10981,1395,2662,5282
7966,10806,4003,2663,13053
9543,10193,1287,4752,13529
6060,9945,12756,7657,698
2887,8738,11946,3496,11881
1491,8410,6231,12147,4898
2963,8730,12265,722,3814
8439,490,395,5790,7444
13314,11532,3827,5631,13713
7424,6473,6224,5258,12108
14474,12783,11021,5318,9353
13309,12770,11028,10072,6238
1084,9067,11219,12500,1390
424,13059,12111,12731,9657
5232,1184,1400,7117,12977
11424,6035,11330,13611,7591
1835,2868,14416,13400,13331
8116,3447,9089,195,3454
8668,4568,1715,10725,3283
8668,4568,1715,10725,3283
3813,10159,11386,12142,9736
4197,633,12400,13456,5442
10051,10758,1767,9165,12576
5119,2117,5160,8140,9343
8725,6352,13076,2133,9555
9690,4150,10042,10038,488
4932,2977,12989,13166,12192
8580,1215,2834,10836,8983
4952,9877,6107,6936,14077
588,5690,9290,11977,5102
7981,1621,2004,14411,9413
8829,5830,2306,6595,6954
2732,11478,4781,4241,1093
8317,13219,13824,10386,10473
10316,11273,1800,8353,8434
8803,2404,7972,10591,7269
9429,12075,945,8741,11302
1638,3824,5788,13553,612
7994,12043,5463,5101,13065
10927,14532,4320,12256,11880
3480,5970,4684,2794,1999
6863,14052,2590,10514,12836
4466,12457,13236,6445,4896
7089,11242,14152,12602,1666
1282,8592,9891,7737,8460
3690,897,11189,12908,9620
12741,10741,12980,5550,7711
4618,5474,1034,12654,1636
13363,9124,8868,12899,10498
8184,4470,6533,6720,192
5351,1048,5713,489,8383
419,12381,13770,9408,12578
5593,7967,945,3613,1572
3010,11717,9507,1762,9291
10462,13579,2519,10862,5918
2878,8642,6849,3765,2539
14360,11616,11104,3319,6121
2000,12430,8417,8875,6336
7368,64,10372,3316,14480
7368,64,10372,3316,14480
13964,13316,4068,13433,875
2369,1728,879,7635,13087
922,3088,8130,2244,2536
13310,6961,2582,875,1088
1191,11225,9584,7106,4833
5615,3352,11166,8621,10233
4174,9970,11893,2714,5725
13678,3253,4324,8738,39
5437,2892,11948,1619,4442
2976,10095,12706,8778,11637
4071,6619,10204,8087,12524
13446,12636,11201,631,4073
4042,11347,4437,2333,3594
14452,4202,5171,7828,2833
4303,9231,2967,4256,14109
13540,2253,11378,12834,5976
5635,8259,8730,2770,9838
13453,14098,4370,1160,11473
9292,2194,9356,2561,5301
14357,9110,12234,13022,7883
5804,13147,5125,5180,3573
5804,13147,5125,5180,3573
5830,2306,8829,6954,4081
41,783,7777,6918,8547
2563,5690,3614,9290,7898
4003,7247,7966,7310,5884
6512,13126,10263,11244,10373
8861,199,4749,2670,2031
2999,4348,3687,10760,2865
9657,12111,12731,424,13059
11429,2677,4248,13727,3359
11429,2677,4248,13727,3359
11429,2677,4248,13727,3359
5492,5306,13045,11472,13788
5492,5306,13045,11472,13788
2477,9947,13820,3149,5477
3673,5811,11981,12504,4049
8331,6576,8776,9373,98
1519,10562,412,9143,2449
1519,10562,412,9143,2449
12626,931,7613,2404,14259
10159,13910,9426,603,9736
921,5110,8889,3392,11689
921,5110,8889,3392,11689
921,5110,8889,3392,11689
3076,5263,336,3421,13207
3076,5263,336,3421,13207
