12127	2069
12127	11324
12127	4363
12127	1269
12127	19022
7670	1269
7670	15414
7188	7809
7188	5849
7188	13159
7188	7399
7188	582
13479	20489
13479	15341
4770	20643
22009	15376
9453	3533
9453	7329
9453	9920
9453	19111
9453	7047
7673	11318
7673	7259
7673	12643
2561	357
18816	2300
18817	20724
435	19254
436	179
19872	16288
12128	1569
12129	4448
12130	511
12130	15679
12130	12361
12130	15182
12130	13326
12130	18066
12130	12108
7675	2091
440	10784
440	18303
440	13563
440	20896
440	9967
440	385
440	244
440	16601
440	4503
440	17906
440	12496
440	6488
440	11130
4774	12913
4774	12703
4774	12033
4774	4780
11691	5067
15085	18130
21628	6787
21628	1472
7678	7708
18503	1269
18503	20933
442	134
442	314
442	425
13721	13893
13721	711
13721	17348
10045	5940
443	10914
4777	15230
7679	10110
7679	15798
12132	15464
18821	17089
18821	18744
18821	12606
18821	18826
12133	20845
12133	8736
12133	8290
445	1657
20505	20774
20505	8029
4780	4774
4780	13825
4781	5703
4781	14402
7682	4656
16624	17447
18823	13966
18823	22877
18823	5977
18823	2746
7684	4505
7684	15477
7684	23023
7684	18613
7684	9710
7684	4554
7684	13825
12137	10187
12138	12624
12138	5216
12138	13350
14010	14937
16092	6847
16092	2746
16092	10099
16092	17834
16092	16016
16092	18947
16092	17399
450	1249
450	6071
450	1269
450	14636
450	19424
450	17696
450	7557
450	13231
450	9574
450	6370
450	1778
450	19992
450	12962
450	3316
7686	5630
7686	5284
7686	11408
4786	11773
452	12226
452	23036
7671	17632
7671	5762
7671	609
7671	4579
7671	1269
7671	17089
7687	13212
7687	20906
20699	1269
12141	14937
12141	1018
12141	11053
12142	5192
12142	8826
1869	1301
14489	11599
14489	13105
14489	18615
14489	18408
14489	6697
14489	6536
4789	10261
4789	9591
17835	20985
22178	1269
7690	17775
7690	21066
7690	8062
7691	9076
12145	6517
12740	8986
13633	19989
20196	17117
20196	5282
23244	5614
4794	16242
4794	6076
4795	1269
7693	6862
457	2518
457	2746
457	1810
457	8842
457	11034
457	10945
4796	12480
4796	20348
4796	4541
7696	14763
458	9829
20997	5096
20997	1269
12148	4232
12149	16601
12149	14531
4797	1269
23245	1269
23245	20826
23245	11932
23245	18703
4799	11583
4799	13003
4799	1269
4799	936
4799	7429
4799	13819
4799	7807
464	8982
464	1534
18826	11544
12151	20642
467	6424
467	1489
7700	2854
7700	8760
4801	6660
4801	12311
4801	14012
4801	12495
4801	571
4801	12483
4801	20360
468	424
468	11449
468	2355
7704	6756
4803	5261
4803	3136
12156	19270
4806	4766
4806	8464
4806	9698
20701	15852
4807	7457
4807	5783
21096	5756
21096	6787
7705	17570
12682	21917
12682	17059
12682	12622
12682	21026
12682	18515
12682	23105
18828	20897
12157	9051
12157	8614
7706	13559
7706	12813
22691	7565
12744	12216
7707	16607
7707	11108
7707	14265
7707	9251
7707	6367
7707	14120
7708	7678
7709	14173
7709	13006
3494	16481
12160	6146
7710	13706
7710	6358
7710	12726
7710	7012
9904	5246
9904	16353
9904	19516
9904	14073
9904	14852
12161	12783
12161	14987
23255	1403
23255	12522
473	18414
7712	7351
474	407
474	143
474	431
474	102
474	198
475	1777
18830	9941
577	813
577	2746
577	21660
577	22261
577	21939
577	23529
577	817
7713	16056
7713	11681
4809	16475
4809	23387
4809	14259
4809	3807
4809	4774
4809	4241
4809	8945
4809	12987
4809	2746
4809	1269
4809	17958
4809	9078
478	14426
7943	3190
7943	2042
10669	959
745	21660
4814	12525
4814	5849
3841	5723
482	520
482	12480
482	1416
4820	7999
4820	7919
12165	5846
12165	15378
9465	5392
994	11702
4821	1269
18833	1269
18833	8747
18833	1836
7722	6190
7722	7592
4822	20638
4822	13034
18834	2967
18834	17882
7723	5369
7723	13110
7723	11913
7723	16050
12747	2589
12747	18296
12747	17124
13637	2826
3908	1269
3908	7363
3908	7130
3908	14835
7725	331
17455	22744
12167	11171
12167	16442
12167	2127
21841	9917
